Group,Species,N_Years,First_Year,Last_Year,N_Records,Mean_growth_rate,Lower_CI,Upper_CI,Precision
Moths,Hadena caesia,37,1979,2015,124,-9.4576,-18.07996077,3.511866814,0.020339235
Lichens,Opegrapha viridipruinosa,19,1997,2015,51,14.2784,4.903309233,29.09169826,0.023252457
Leaf&SeedBeetles,Bruchidius varius,24,1989,2012,53,15.8959,2.44363557,28.79759419,0.023314696
Ladybirds,Scymnus interruptus,20,1996,2015,101,7.3083,-9.82300064,17.66481992,0.024750677
Bryophytes,Buxbaumia viridis,21,1993,2013,170,9.0938,-2.444023891,21.29901526,0.028048204
Moths,Spaelotis ravida,45,1970,2014,562,-4.9314,-13.00457972,2.896308565,0.029787246
Lichens,Lecanora horiza,35,1981,2015,51,13.865,3.417714656,23.04818332,0.032830591
Lichens,Lecanora populicola,15,2001,2015,62,-1.7389,-11.83957016,8.872006774,0.033974096
Lichens,Micarea viridileprosa,14,2001,2014,66,1.728,-7.838794244,12.95153793,0.034335531
Spiders,Ero aphana,18,1996,2013,58,18.4029,8.599824071,30.11224349,0.034603541
Hoverflies,Sphegina sibirica,22,1992,2013,109,17.4984,8.031819827,28.50444555,0.035960893
Mayflies,Baetis digitatus,30,1978,2007,58,10.0609,-0.177063131,20.39890372,0.036110139
Moths,Lacanobia splendens,13,2003,2015,626,-7.1539,-16.79592644,3.289151237,0.037193346
Dragonflies,Anax parthenope,20,1996,2015,703,8.0534,-1.442444874,18.45078389,0.039509003
Caddisflies,Hydropsyche saxonica,26,1988,2013,55,8.0947,-1.797971716,17.68604418,0.039832337
Ladybirds,Henosepilachna argus,19,1997,2015,138,1.2719,-7.738009523,11.42094166,0.043646021
Moths,Eustroma reticulata,23,1993,2015,110,5.7409,-3.736091413,15.40728046,0.043746154
Mayflies,Ephemera lineata,21,1995,2015,108,23.808,14.19478269,32.40505669,0.043926677
Spiders,Uloborus plumipes,22,1992,2013,185,8.7461,0.450112626,18.25538019,0.0455921
Spiders,Steatoda nobilis,25,1990,2014,112,21.8994,13.82006223,32.06466466,0.046088234
ShieldBugs,Stictopleurus abutilon,24,1992,2015,137,1.2146,-7.397403026,10.62561725,0.046178398
Moths,Pechipogo plumigeralis,20,1996,2015,95,3.9685,-4.77739281,13.7688317,0.046949493
Moths,Sideridis reticulata,42,1970,2011,70,-4.7941,-10.82412368,5.793810901,0.046988352
Lichens,Caloplaca dichroa,23,1993,2015,165,23.3435,15.02699231,32.59152321,0.048223582
RoveBeetles,Carpelimus impressus,27,1983,2009,86,6.3128,-2.539413545,15.4209439,0.048616345
Leaf&SeedBeetles,Longitarsus parvulus,23,1990,2012,575,11.9127,3.573350857,20.80208432,0.048805456
Moths,Lasiocampa trifolii form flava,24,1992,2015,156,8.596,0.088358709,17.42688472,0.048912066
Moths,Agrochola haematidea,22,1993,2014,118,7.819,0.075597501,17.30748222,0.049624893
Lichens,Rinodina calcarea,32,1984,2015,52,12.6264,4.74839549,21.69065396,0.050122792
Lacewings,Chrysopa pallens,23,1975,1997,50,-2.023,-9.198754731,8.256904546,0.05174811
Lichens,Verrucaria elaeina,16,2000,2015,88,6.4118,-0.034744057,16.27146107,0.05420726
Moths,Idaea ochrata,33,1983,2015,356,0.8769,-12.33276746,6.718897021,0.054533938
Ladybirds,Rhyzobius chrysomeloides,20,1996,2015,113,14.7482,7.398385893,23.8445499,0.05588222
PlantBugs,Orsillus depressus,23,1993,2015,51,3.8784,-3.723985129,12.81141398,0.056558734
Leaf&SeedBeetles,Altica carinthiaca,33,1979,2011,51,3.6425,-2.845511414,13.56378582,0.05758743
Empid&DolichopodidFlies,Stilpon graminum,29,1983,2011,121,1.7231,-6.59460661,10.17463256,0.058270922
Lichens,Lepraria jackii,29,1987,2015,80,0.7656,-6.783897808,8.948403045,0.058628545
Leaf&SeedBeetles,Mantura matthewsii,28,1982,2009,57,-0.6743,-8.925993881,6.807049387,0.059891536
Bees,Stelis breviuscula,31,1985,2015,80,2.0036,-5.617056629,10.01783333,0.059891876
PlantBugs,Nysius senecionis,24,1992,2015,69,9.0413,2.05534403,18.08408736,0.061779091
AquaticBugs,Microvelia pygmaea,24,1987,2010,59,6.476,-0.854395042,14.27108486,0.063248571
Lichens,Caloplaca citrina s. str.,33,1982,2014,272,1.4493,-5.266331481,10.22304154,0.063493682
Lichens,Ochrolechia turneri s. str.,27,1987,2013,67,7.3656,0.34059794,16.11735178,0.064444025
Moths,Trachea atriplicis,28,1988,2015,83,5.4783,-1.333170049,14.86101354,0.065191016
Moths,Thalera fimbrialis,46,1970,2015,207,4.4284,-0.818181399,14.77185437,0.066026333
RoveBeetles,Tachyporus dispar,30,1986,2015,79,0.2918,-7.949258382,7.79590997,0.066704324
Bryophytes,Glyphomitrium daviesii,27,1989,2015,72,5.0842,-0.693573113,13.67241627,0.067624353
Stoneflies,Amphinemura standfussi,28,1980,2007,69,1.8412,-5.233053245,10.11190824,0.068931261
Bryophytes,Sphagnum platyphyllum,30,1986,2015,87,4.796,-2.038919755,12.6574501,0.068964841
Weevils,Apion frumentarium s.lat.,20,1972,1991,173,-8.38,-15.65950037,-1.241030449,0.069166417
Mayflies,Kageronia fuscogrisea,38,1978,2015,134,3.3909,-3.583425874,11.04690559,0.069365348
Moths,Hydraecia osseola,33,1979,2011,118,8.4869,1.70829916,15.46443587,0.071141283
Lichens,Punctelia jeckeri,31,1985,2015,423,16.4785,9.515299285,24.233977,0.071249841
Leaf&SeedBeetles,Chrysolina americana,25,1991,2015,143,22.0749,15.23068282,29.30446249,0.071690831
Spiders,Kochiura aulica,27,1987,2013,59,8.8706,2.340562742,16.86739763,0.072717423
Lichens,Cyrtidula hippocastani,37,1976,2012,91,1.636,-5.478879082,8.95784657,0.073700698
Leaf&SeedBeetles,Aphthona ?atratula,27,1973,1999,55,-3.9792,-10.77071801,4.308606774,0.074697172
Moths,Eupithecia ultimaria,28,1988,2015,343,8.914,2.505325327,16.58013411,0.074832216
Lichens,Lecanora semipallida,32,1984,2015,74,11.443,4.516548352,19.06928594,0.075388882
Ants,Formica picea,26,1989,2014,50,5.9787,-0.744594296,13.51479063,0.076352368
Weevils,Ernoporicus caucasicus,36,1980,2015,83,2.9444,-3.777616311,10.29347671,0.076773639
RoveBeetles,Tetralaucopora longitarsis,25,1983,2007,149,0.0262,-6.790792423,7.104102261,0.077026491
Bees,Nomada armata,25,1991,2015,51,-1.1866,-7.27319731,6.432017091,0.078895753
Lichens,Cladonia zopfii,39,1975,2013,54,6.9405,-0.730228887,13.4271887,0.079976752
Empid&DolichopodidFlies,Dolichopus andalusiacus,21,1988,2008,102,-2.2698,-9.150503386,4.493593556,0.08110588
Lichens,Strigula taylorii,28,1988,2015,69,7.7815,1.627200429,15.46723254,0.082079144
PlantBugs,Psallus quercus,37,1979,2015,61,-2.2549,-8.958970363,4.785687356,0.084119407
Bees,Nomada ferruginata,29,1987,2015,59,4.614,-1.421308668,11.984339,0.084720759
Wasps,Nitela lucens,28,1982,2009,77,1.4203,-5.497012394,8.594663326,0.085759506
Lichens,Candelariella vitellina f. flavovirella,38,1977,2014,79,1.729,-4.773647832,8.952339229,0.086514002
Spiders,Agyneta olivacea,27,1987,2013,95,0.4199,-5.540106636,8.055829343,0.086992838
Bryophytes,Lophocolea bispinosa,38,1977,2014,68,5.0868,-2.231731684,11.84361428,0.08722315
Wasps,Chrysis gracillima,29,1983,2011,65,1.4462,-5.881906691,8.188848311,0.087435651
RoveBeetles,Platystethus cornutus,24,1983,2006,93,-4.5895,-11.40122909,1.595654395,0.08753812
Carabids,Carabus intricatus,17,1996,2012,141,0.3441,-6.698373646,6.681852989,0.087739587
Bryophytes,Ditrichum zonatum,38,1978,2015,72,-2.2061,-9.040620178,2.172959723,0.08802204
Wasps,Dolichovespula saxonica,29,1987,2015,401,10.5104,4.104727766,17.17318464,0.088085312
RoveBeetles,Gnypeta rubrior,22,1982,2003,63,-2.6246,-10.4071431,1.194159097,0.088134484
Wasps,Stigmus pendulus,29,1986,2014,171,7.2032,0.721748206,14.21299147,0.088665822
Moths,Hecatera dysodea,19,1997,2015,1824,20.675,14.81816024,28.291404,0.088731931
RoveBeetles,Stenus nitens,28,1988,2015,53,9.0249,2.389268731,15.17828382,0.089002714
RoveBeetles,Gabrius splendidulus,25,1982,2006,51,-2.5026,-8.222403876,5.791686047,0.089663296
Ladybirds,Nephus quadrimaculatus,25,1991,2015,93,4.2603,-1.884476394,11.3184264,0.090436752
RoveBeetles,Philhygra volans,24,1983,2006,64,2.4994,-3.02512391,9.435537018,0.091146507
RoveBeetles,Ocyusa picina,22,1988,2009,71,8.3037,1.96821473,14.79244967,0.092393844
Hoverflies,Callicera rufa,37,1977,2013,83,2.1107,-4.022315202,8.819646112,0.093100824
Lacewings,Hemerobius pini,30,1977,2006,59,-5.0802,-11.95086612,0.71474676,0.093245071
Empid&DolichopodidFlies,Hemerodromia raptoria,35,1978,2012,76,-1.6178,-8.393296823,4.393750855,0.093273272
Hoverflies,Microdon myrmicae,31,1983,2013,85,6.387,0.43108934,13.74699212,0.093372225
Lichens,Vezdaea leprosa,32,1981,2012,51,1.8668,-4.491023337,8.851412991,0.093575448
Lichens,Lichenoconium lecanorae,32,1983,2014,65,-2.5242,-8.441800118,4.311099661,0.094367533
Lichens,Lepraria rigidula,29,1987,2015,130,6.1971,0.377215908,13.38852401,0.095643956
Lichens,Opegrapha xerica,33,1983,2015,75,6.9658,1.623709539,14.04425359,0.096206927
Mayflies,Baetis scambus,35,1981,2015,318,-0.1983,-6.213332284,6.092604974,0.096224437
Lacewings,Xanthostigma xanthostigma,28,1975,2002,63,-0.4881,-6.71368731,6.843669623,0.097300424
Ants,Formicoxenus nitidulus,31,1981,2011,92,1.4609,-4.376547098,7.937660202,0.097509815
Lichens,Lepraria ecorticata,36,1980,2015,76,4.6828,0.660960639,11.50848024,0.097931238
Bryophytes,Weissia perssonii,38,1978,2015,57,2.8485,-1.695417899,10.12323009,0.098947268
Lichens,Placynthiella dasaea,38,1978,2015,125,5.7453,0.559734166,13.08024432,0.098966895
Spiders,Argiope bruennichi,29,1985,2013,452,13.945,8.102900366,20.71075046,0.099317128
Lichens,Catillaria nigroclavata,42,1974,2015,52,8.7626,3.220866229,15.47148948,0.099389259
ShieldBugs,Elasmostethus tristriatus,28,1979,2006,306,-6.0109,-11.93563858,0.182216019,0.099898221
Moths,Eublemma ostrina,40,1976,2015,93,1.4713,-4.168865938,8.373767392,0.100131146
Empid&DolichopodidFlies,Chrysotimus molliculus,30,1983,2012,89,1.474,-4.172678403,7.822029172,0.101310465
Leaf&SeedBeetles,Psylliodes luteola,27,1985,2011,90,2.6775,-3.226707661,9.277635652,0.101441814
Dragonflies,Sympetrum flaveolum,42,1970,2011,714,-9.5969,-15.07463235,-1.424671662,0.101496427
Empid&DolichopodidFlies,Platypalpus maculipes,30,1980,2009,51,-2.5213,-9.166348123,3.493920351,0.101860354
RoveBeetles,Philonthus cognatus,25,1982,2006,58,-7.7158,-14.08663133,-1.716996377,0.101865127
Moths,Aplasta ononaria,26,1990,2015,199,0.8049,-5.027382693,6.879859071,0.101912059
Bryophytes,Tortula atrovirens,26,1989,2014,69,-0.6473,-6.754539603,5.037152704,0.102039877
Weevils,Apion carduorum s.lat.,31,1972,2002,101,-10.4907,-16.39208661,-4.08191068,0.102208868
Hoverflies,Heringia latitarsis,35,1979,2013,54,-2.4435,-8.787027454,3.714561193,0.102238798
Bryophytes,Pohlia andalusica,20,1993,2012,74,-3.4458,-9.355124981,3.035846409,0.102294015
RoveBeetles,Anthobium unicolor,28,1982,2009,62,-6.4994,-13.55323018,-0.733016431,0.102302136
Lichens,Arthopyrenia carneobrunneola,38,1977,2014,96,0.4573,-5.325183067,6.851058168,0.102770583
AquaticBugs,Aquarius paludum,34,1982,2015,74,5.4772,-0.479438633,11.93837878,0.10369934
Bees,Hylaeus annularis,32,1973,2004,67,1.4437,-3.954163937,8.1862714,0.103764756
Dragonflies,Sympetrum fonscolombii,40,1976,2015,2219,5.9537,0.770544974,12.79465199,0.103917816
ShieldBugs,Gonocerus acuteangulatus,35,1981,2015,301,7.4909,2.22116526,14.39301974,0.104115567
Spiders,Walckenaeria alticeps,30,1984,2013,69,1.7176,-4.491784322,8.331883958,0.104654483
Weevils,Isochnus sequensi,32,1984,2015,98,10.4337,5.103513814,17.50861578,0.105089972
NonmarineMolluscs,Arion rufus,28,1988,2015,124,10.7722,5.654078006,17.5342525,0.105260671
Spiders,Nigma puella,36,1978,2013,70,6.8182,1.907469555,13.6308342,0.105594841
RoveBeetles,Leptusa fumida,25,1982,2006,81,-3.3833,-8.394681068,4.132229508,0.105938163
Bryophytes,Bryum canariense,38,1977,2014,51,2.5912,-2.193577978,9.246871061,0.106383188
Leaf&SeedBeetles,Phyllotreta diademata,32,1981,2012,64,4.5932,-0.150264228,11.17610117,0.106716104
Lichens,Lichenodiplis lecanorae,33,1983,2015,50,5.1544,0.233662894,11.70731048,0.107788151
Bryophytes,Bryum pallescens,32,1984,2015,155,7.3269,1.717270087,13.95871232,0.107864371
Moths,Lithostege griseata,29,1987,2015,200,3.3635,-2.488859285,9.432002271,0.108176981
Lichens,Catillaria atomarioides,28,1988,2015,99,10.562,5.300292182,16.97332725,0.109333599
Stoneflies,Nemoura avicularis,35,1981,2015,418,4.2462,-1.499625153,10.06359619,0.110734133
Bryophytes,Leptoscyphus cuneifolius,40,1976,2015,70,5.9047,0.621000516,12.47461652,0.111144213
Lichens,Lecania inundata,30,1986,2015,87,14.0161,8.867021669,20.52178206,0.111451044
Lichens,Weddellomyces epicallopisma,35,1980,2014,55,-0.7031,-6.21995974,5.476461092,0.111649324
RoveBeetles,Erichsonius cinerascens,33,1983,2015,51,2.2336,-3.433434131,8.119784854,0.112065255
Lichens,Lecanora farinaria,40,1976,2015,63,5.2186,-0.368491606,11.39824151,0.113702571
Caddisflies,Notidobia ciliaris,39,1975,2013,51,0.2292,-5.705260331,5.786080785,0.114927585
Bryophytes,Entosthodon muhlenbergii,34,1981,2014,62,3.5768,-0.628781617,10.70023462,0.114989799
Empid&DolichopodidFlies,Platypalpus minutus sens. str.,35,1980,2014,121,7.0143,1.908615394,12.87646681,0.11635339
Mayflies,Caenis robusta,45,1971,2015,349,-2.5214,-8.526470756,3.097045314,0.116667777
Moths,Cryphia algae,25,1991,2015,1626,10.328,3.758070218,15.52886071,0.117616056
RoveBeetles,Gnypeta carbonaria,24,1983,2006,88,-1.3781,-7.600319583,4.278757857,0.1186792
Stoneflies,Nemoura cambrica,40,1974,2013,226,-1.2443,-7.083139974,4.253165823,0.118805456
Weevils,Lixus scabricollis,29,1987,2015,88,5.2189,-0.219542355,11.20393228,0.119964297
Wasps,Didineis lunicornis,37,1972,2008,65,-0.8356,-6.51536405,5.41274678,0.120380667
Bryophytes,Bryum torquescens,37,1978,2014,50,4.5704,-0.475736173,10.90223813,0.121286899
Empid&DolichopodidFlies,Aphrosylus celtiber,30,1984,2013,52,-0.8798,-7.130551613,4.330450867,0.121303689
Spiders,Walckenaeria clavicornis,39,1970,2008,70,-0.2373,-5.691155868,5.89768727,0.123079253
Lichens,Lecanora antiqua,35,1981,2015,495,10.9669,5.805777535,17.20834359,0.123674475
AquaticBugs,Micronecta scholtzi,35,1977,2011,207,3.3652,-1.904052425,9.160124838,0.123901924
Lichens,Peltigera neckeri,32,1984,2015,84,8.464,3.540206723,15.03602738,0.123967247
Empid&DolichopodidFlies,Gymnopternus assimilis,39,1975,2013,193,3.1363,-1.68890727,9.177041001,0.125098448
Lichens,Anisomeridium viridescens,35,1980,2014,58,2.8775,-1.908991705,8.919477774,0.125553737
SoldierBeetles,Malthinus balteatus,29,1971,1999,68,1.4512,-3.785151522,7.777376477,0.125620287
Moths,Herminia tarsicrinalis,31,1985,2015,245,0.9185,-4.646051725,6.36795534,0.126132629
Stoneflies,Diura bicaudata,32,1976,2007,214,-5.3894,-10.30206617,0.843616111,0.126504687
Hoverflies,Sphaerophoria virgata,39,1974,2012,77,-0.8098,-6.907377486,4.701425878,0.126828462
RoveBeetles,Carpelimus rivularis,26,1983,2008,224,-2.6986,-8.590622301,2.012392313,0.127051878
Leaf&SeedBeetles,Altica helianthemi,38,1977,2014,97,-1.7996,-7.738451105,3.428158689,0.127498945
Empid&DolichopodidFlies,Rhamphomyia caliginosa,25,1987,2011,59,4.7054,0.109137877,10.83610648,0.127741731
Wasps,Priocnemis cordivalvata,31,1979,2009,64,-0.2034,-4.884939326,5.720885447,0.127800132
Lichens,Lichenoconium erodens,37,1979,2015,72,3.0527,-1.330833577,9.355989096,0.127892386
Leaf&SeedBeetles,Aphthona euphorbiae,32,1984,2015,1437,9.6444,4.114906783,15.35862177,0.128166231
PlantBugs,Lygus pratensis,32,1984,2015,197,9.9498,5.02145549,15.91032765,0.129328705
Spiders,Microctenonyx subitaneus,29,1975,2003,60,-1.6006,-6.871290202,3.861771875,0.129999488
Stoneflies,Leuctra moselyi,31,1978,2008,383,-0.9568,-6.207098831,5.091668815,0.130295331
Hoverflies,Caliprobola speciosa,35,1979,2013,83,-2.1572,-7.446983777,3.499771914,0.13029559
Bryophytes,Tortula viridifolia,40,1976,2015,90,0.7784,-4.172419764,6.377608743,0.130744497
Lichens,Caloplaca arcis,38,1978,2015,193,11.1457,6.6259837,17.01286226,0.132014085
Lichens,Lecanora hagenii,39,1977,2015,190,11.4604,6.671649842,17.34905631,0.132968955
Bees,Bombus hypnorum,46,1970,2015,2348,4.8061,-1.519315797,9.415928156,0.133774721
Lichens,Arthopyrenia cinereopruinosa,42,1974,2015,55,2.8015,-1.912606357,8.338838437,0.134294064
Hoverflies,Chalcosyrphus eunotus,32,1982,2013,52,2.2675,-2.181086907,8.062841587,0.134471719
Stoneflies,Leuctra nigra,37,1979,2015,544,2.1641,-3.008760732,7.187628703,0.134827148
Empid&DolichopodidFlies,Hercostomus parvilamellatus,34,1980,2013,52,0.2814,-5.201703867,6.19130316,0.135125149
Moths,Trisateles emortualis,43,1972,2014,142,8.0997,2.851679914,13.45279849,0.135319226
Lichens,Aspicilia contorta subsp. hoffmanniana,41,1975,2015,167,12.3669,7.519918793,18.45846433,0.135349469
Wasps,Omalus aeneus,41,1975,2015,81,0.1231,-5.006292675,5.916023199,0.135419056
Mayflies,Paraleptophlebia cincta,38,1978,2015,58,1.7272,-3.667713359,6.57409628,0.136108988
Bees,Sphecodes niger,40,1976,2015,301,5.633,0.678505633,11.3237443,0.136109171
Empid&DolichopodidFlies,Platypalpus australominutus,35,1980,2014,57,4.3847,-0.145993612,10.42025321,0.136873263
RoveBeetles,Aloconota gregaria,27,1982,2008,153,-1.2644,-6.471114537,4.504366491,0.137039265
Wasps,Gorytes laticinctus,44,1972,2015,80,6.7046,2.047150547,12.94052763,0.137311325
Weevils,Hypera meles,44,1972,2015,96,6.9014,2.275994316,12.94622881,0.137414529
Moths,Trigonophora flammea,31,1985,2015,225,4.3408,-0.062227855,10.07968452,0.137543263
Centipedes,Lithobius muticus,39,1977,2015,76,3.1057,-1.795715596,9.243463116,0.138278111
Moths,Trichoplusia ni,46,1970,2015,698,4.859,0.233167878,10.75536085,0.138356054
Moths,Catocala sponsa,37,1978,2014,169,2.7207,-2.05148346,8.049599416,0.138762599
Lichens,Homostegia piggotii,42,1974,2015,69,3.2523,0.11885865,9.105684323,0.138835491
Lichens,Lepraria umbricola,28,1987,2014,87,5.7881,0.73216402,11.10137237,0.138929699
Ants,Ponera coarctata,33,1979,2011,85,-0.1762,-5.946782314,5.225498677,0.139211692
RoveBeetles,Gnypeta ripicola,24,1983,2006,53,-0.2323,-5.455263416,5.861112718,0.13992476
Leaf&SeedBeetles,Aphthona melancholica,41,1971,2011,66,-2.1752,-7.336468003,3.184395596,0.140093722
Hoverflies,Anasimyia lunulata,37,1976,2012,87,-2.7313,-7.583283633,2.727710005,0.140103458
Caddisflies,Limnephilus elegans,41,1973,2013,65,2.7083,-2.564282234,7.918880243,0.140138458
RoveBeetles,Stenus solutus,33,1983,2015,80,5.9672,0.716943664,11.20375744,0.140327853
Orthoptera,Chorthippus vagans,32,1984,2015,58,0.9486,-3.786435733,6.533551844,0.141079868
Moths,Clostera anachoreta,40,1976,2015,100,0.6245,-4.026040696,6.382130368,0.141252009
Moths,Pelosia obtusa,30,1986,2015,74,3.7972,-0.657826586,9.72047738,0.141665505
Mayflies,Rhithrogena semicolorata,38,1978,2015,812,10.2151,5.940254071,16.08296911,0.142792017
Hoverflies,Anasimyia interpuncta,43,1972,2014,70,1.3469,-3.009425534,7.095127384,0.142837382
Bryophytes,Bryum donianum,39,1976,2014,126,1.5431,-3.260453382,6.904835681,0.143094424
Spiders,Achaearanea tepidariorum,30,1984,2013,90,5.0491,0.351107536,11.17761114,0.143323401
Spiders,Erigone aletris,33,1981,2013,85,-0.6963,-5.667825758,4.592023682,0.14364707
Gelechiids,Monochroa hornigi,35,1979,2013,56,-1.052,-6.245531403,4.816096617,0.14381913
AquaticBugs,Chartoscirta cincta,45,1971,2015,85,-0.5523,-5.693471694,4.791685542,0.144054567
Spiders,Oreonetides vaginatus,43,1970,2012,61,-3.0567,-8.070722107,2.686014084,0.144070535
Caddisflies,Psychomyia fragilis,35,1972,2006,85,-3.5189,-8.809160824,1.456484549,0.144137315
Bryophytes,Heterocladium wulfsbergii,46,1970,2015,99,3.9091,-0.523098197,9.677463164,0.144540158
SoldierBeetles,Malthinus frontalis,30,1970,1999,59,-1.1447,-6.887536704,3.9102811,0.144703552
Lichens,Caloplaca phlogina,35,1981,2015,54,4.4308,-0.112951463,10.39641379,0.145424571
Wasps,Spilomena beata,35,1979,2013,54,-0.7596,-5.422594652,4.919318613,0.145618564
Weevils,Apion rubiginosum,29,1987,2015,56,6.8384,2.161027137,12.11576932,0.145677409
Hoverflies,Parhelophilus consimilis,33,1980,2012,67,-4.9486,-10.42845856,0.17869394,0.145808196
Craneflies,Erioptera squalida,39,1977,2015,54,0.8305,-3.984477678,6.624313567,0.146082626
Moths,Sabra harpagula,31,1985,2015,61,3.0497,-1.590514401,8.784616242,0.1461277
Moths,Nola aerugula,35,1980,2014,61,-0.0377,-6.131316996,4.97482629,0.146441926
Bryophytes,Porella pinnata,44,1971,2014,81,0.5457,-4.705259246,5.516838933,0.1464572
Lacewings,Osmylus fulvicephalus,35,1973,2007,67,0.6462,-4.497596072,5.897565859,0.146570584
Empid&DolichopodidFlies,Hilara pseudochorica,37,1978,2014,50,-0.8923,-5.997061947,4.446791094,0.146726061
Caddisflies,Ceraclea senilis,42,1972,2013,108,5.1043,0.904270379,11.35640539,0.146862369
RoveBeetles,Paederus riparius,31,1985,2015,68,5.8784,0.586971145,11.15043257,0.146994342
Leaf&SeedBeetles,Gonioctena viminalis,36,1978,2013,62,-2.1748,-7.091724858,2.955620389,0.147186258
Lichens,Amandinea pelidna,41,1975,2015,54,3.7915,-0.929731582,9.279489163,0.147352014
Moths,Idaea degeneraria,43,1973,2015,272,4.5969,-0.131867178,10.00121299,0.147957277
Stoneflies,Chloroperla tripunctata,43,1973,2015,900,-1.7614,-5.991339702,3.859363108,0.148681545
Caddisflies,Ecnomus tenellus,38,1976,2013,135,8.699,4.171596144,14.3090684,0.149177958
Lichens,Lecania rabenhorstii,41,1975,2015,132,7.9337,3.569344172,13.32214738,0.149372278
Lichens,Lecanora persimilis,36,1980,2015,171,8.5665,3.87438365,14.0483761,0.149700529
Bryophytes,Sphagnum pulchrum,37,1978,2014,131,-0.4755,-5.789994827,4.997590295,0.150173997
Spiders,Segestria florentina,39,1976,2014,52,6.022,1.840501926,11.32239676,0.150271073
Stoneflies,Perla bipunctata,35,1981,2015,330,5.7313,0.532172851,10.77158958,0.150339409
Orthoptera,Conocephalus discolor,41,1975,2015,2415,7.4524,3.207835008,13.11127054,0.150628079
Leaf&SeedBeetles,Longitarsus dorsalis,38,1978,2015,137,4.0806,-0.363178578,10.31892896,0.150923253
Lichens,Micarea micrococca,45,1970,2014,128,0.1381,-4.336900707,5.750202469,0.151116294
Mayflies,Ephemerella notata,38,1978,2015,137,4.8398,0.407573968,10.52868916,0.15114174
Moths,Hypena obsitalis,29,1987,2015,378,11.0243,6.235931669,16.48379168,0.151588679
RoveBeetles,Philhygra malleus,32,1983,2014,192,0.7153,-4.681471529,5.387125162,0.152168532
Lichens,Ropalospora viridis,32,1983,2014,54,4.8199,-0.302649088,9.582096724,0.152269438
Leaf&SeedBeetles,Longitarsus kutscherae,41,1974,2014,114,-2.4987,-7.441171039,2.757736795,0.152522585
Spiders,Arctosa cinerea,24,1987,2010,63,-1.4117,-6.927764281,2.932530571,0.15368966
Lichens,Romjularia lurida,33,1983,2015,58,2.4271,-2.564453495,7.376749979,0.153840181
Spiders,Tetragnatha striata,41,1971,2011,139,3.1085,-1.94932291,8.565299956,0.15396595
